                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46774,                 1.7904,                 1.0466,                0.34984,                0.30928,                0.26059,                0.10767,                 1.9322,                 3.2927,                 3.0376,              0.0033292,              0.0033292,              0.0033292
                      2,                0.40614,                0.90158,                0.97725,                0.29043,                0.21059,                0.17458,                 0.0818,                 2.3177,                 3.5941,                 3.0936,              0.0065526,              0.0065526,              0.0065526
                      3,                0.43018,                0.82499,                0.98334,                0.31119,                0.30298,                0.27427,                 0.1116,                 2.5185,                 3.0125,                 3.5618,               0.009666,               0.009666,               0.009666
                      4,                0.41425,                0.74752,                0.98101,                0.45705,                0.27016,                0.24157,                0.08604,                 2.5732,                  3.474,                 3.4369,               0.009505,               0.009505,               0.009505
                      5,                  0.377,                0.66204,                0.96851,                0.18194,                0.18499,                0.12556,                0.05754,                 3.4814,                 5.2189,                 4.0352,               0.009505,               0.009505,               0.009505
                      6,                0.35154,                0.60123,                0.95904,                0.55461,                0.43574,                0.46085,                0.20083,                 1.9304,                 2.3249,                 2.8568,                0.00934,                0.00934,                0.00934
                      7,                0.33607,                0.56071,                0.95418,                0.27444,                0.23035,                0.19993,                0.09768,                 2.6741,                 3.3515,                 3.4003,               0.009175,               0.009175,               0.009175
                      8,                0.32025,                0.53356,                0.94832,                0.42365,                0.36867,                0.32668,                0.14804,                 2.3555,                  3.297,                 3.0717,                0.00901,                0.00901,                0.00901
                      9,                0.30766,                0.51028,                0.94292,                0.39273,                0.19876,                0.17696,                0.08048,                 3.0367,                 3.4495,                 3.6409,               0.008845,               0.008845,               0.008845
                     10,                0.30195,                0.49711,                0.93923,                0.40721,                0.33352,                0.33298,                0.15169,                 2.1056,                 2.6022,                 2.8721,                0.00868,                0.00868,                0.00868
                     11,                0.28926,                 0.4793,                0.93622,                 0.3917,                0.35908,                0.32948,                0.14158,                  1.998,                 2.6688,                  2.733,               0.008515,               0.008515,               0.008515
                     12,                0.28355,                0.46562,                 0.9338,                0.47697,                0.48049,                0.49668,                0.24703,                 2.0841,                 2.7205,                 2.7268,                0.00835,                0.00835,                0.00835
                     13,                0.27963,                0.45429,                0.92944,                0.37782,                0.35264,                0.35226,                0.15676,                 2.6086,                 2.7184,                 3.2046,               0.008185,               0.008185,               0.008185
                     14,                0.27495,                0.44469,                0.92769,                0.45071,                0.40546,                 0.4019,                0.17577,                 2.2636,                 2.4006,                 2.9112,                0.00802,                0.00802,                0.00802
                     15,                0.26848,                0.44184,                0.92433,                0.37074,                0.38014,                 0.3432,                0.15677,                  2.214,                 2.4564,                 2.8156,               0.007855,               0.007855,               0.007855
                     16,                0.26311,                0.43135,                0.92454,                0.31617,                0.28577,                0.26641,                0.14072,                 2.5384,                 2.8508,                 3.2542,                0.00769,                0.00769,                0.00769
                     17,                0.26068,                0.42037,                0.92223,                 0.3184,                0.40657,                0.32035,                0.14039,                 2.1555,                 2.5666,                 2.7965,               0.007525,               0.007525,               0.007525
                     18,                0.25506,                 0.4159,                0.92092,                0.39698,                0.41989,                 0.3756,                0.15859,                 2.0418,                 2.2558,                 2.7248,                0.00736,                0.00736,                0.00736
                     19,                0.25018,                0.40608,                0.91966,                0.47575,                0.47916,                0.47234,                0.24787,                 1.9755,                 2.0942,                 2.7515,               0.007195,               0.007195,               0.007195
                     20,                 0.2475,                0.40346,                0.91791,                0.47771,                0.43464,                0.42131,                0.21308,                 2.0835,                 2.5333,                 2.7545,                0.00703,                0.00703,                0.00703
                     21,                0.24524,                0.39882,                0.91647,                0.46244,                0.50867,                0.48842,                0.24629,                 1.8804,                 2.1481,                 2.6501,               0.006865,               0.006865,               0.006865
                     22,                0.24244,                0.39661,                0.91555,                0.40342,                0.43274,                0.41121,                0.19996,                 2.0764,                 2.1554,                 2.7834,                 0.0067,                 0.0067,                 0.0067
                     23,                0.24035,                0.38957,                0.91482,                0.48421,                0.50533,                0.46352,                0.24234,                 1.8056,                 2.0578,                 2.6085,               0.006535,               0.006535,               0.006535
                     24,                0.23436,                0.38603,                0.91335,                0.49921,                0.49367,                0.45965,                 0.2184,                 1.9595,                 2.1225,                  2.657,                0.00637,                0.00637,                0.00637
                     25,                0.23329,                0.37848,                0.91348,                0.47648,                0.49658,                 0.4504,                0.23284,                 1.9446,                 2.0143,                 2.7135,               0.006205,               0.006205,               0.006205
                     26,                0.23112,                0.37643,                0.91045,                0.45023,                0.47061,                0.41006,                0.21894,                 1.9268,                 2.1688,                 2.6013,                0.00604,                0.00604,                0.00604
                     27,                0.22888,                0.37055,                 0.9109,                0.38508,                0.46182,                0.38729,                0.18652,                 2.0272,                 2.4125,                 2.7004,               0.005875,               0.005875,               0.005875
                     28,                0.22477,                0.36972,                 0.9108,                0.57943,                0.60326,                0.58715,                0.29979,                 1.8113,                 1.9126,                 2.5332,                0.00571,                0.00571,                0.00571
